RCMRQjLLWGTjnlnZwwnZJRZH,12,RCMRQjLLWGTj,nlnZwwnZJRZH
qnvfhpSbvSppNddNdSqbbmmdPrwttJVrVPDVrJtHtwPZhrPJ,24,qnvfhpSbvSppNddNdSqbbmmd,PrwttJVrVPDVrJtHtwPZhrPJ
BFpFzSSqSFFSvQsnWgCMjTLzng,13,BFpFzSSqSFFSv,QsnWgCMjTLzng
DbWVcVRRdlLffvtqjTWNgQ,11,DbWVcVRRdlL,ffvtqjTWNgQ
mJJMpsmrMrJSHJpsHrFHvBvgHvqfNvzffgTvfj,19,mJJMpsmrMrJSHJpsHrF,HvBvgHvqfNvzffgTvfj
mMhPjmjmFPJhMSGGcDRlwRdcLGPc,14,mMhPjmjmFPJhMS,GGcDRlwRdcLGPc
qFcbmWFJqqWpRJcQWpqsQQQwSPCPrHRHCPdNZtSrSHwrNZ,23,qFcbmWFJqqWpRJcQWpqsQQQ,wSPCPrHRHCPdNZtSrSHwrNZ
jGMjGLhhhgTvghgtGVjnNCrPVwZSZffSNSwHZZdH,20,jGMjGLhhhgTvghgtGVjn,NCrPVwZSZffSNSwHZZdH
DvzDlvvhnjlMlglglGGhDLpqqcJWWtsmszpWbBBBmQmb,22,DvzDlvvhnjlMlglglGGhDL,pqqcJWWtsmszpWbBBBmQmb
SPLPHQbJSbPsvTLmfDvVDctvWhcDlD,15,SPLPHQbJSbPsvTL,mfDvVDctvWhcDlD
jdRRzzGgJqwrpMRMgdjlcVcWqfWWlfDlmmlWhB,19,jdRRzzGgJqwrpMRMgdj,lcVcWqfWWlfDlmmlWhB
rwgRGdpGprNNLQLsbZJPsn,11,rwgRGdpGprN,NLQLsbZJPsn
GZhTVLztHrSzrRBz,8,GZhTVLzt,HrSzrRBz
MJWjMvsfSCLSnrJn,8,MJWjMvsf,SCLSnrJn
MjglcgWMdccvZGFtTDchLLLh,12,MjglcgWMdccv,ZGFtTDchLLLh
rgDHBgBjRgRTgwzwthBnQwmBtB,13,rgDHBgBjRgRTg,wzwthBnQwmBtB
MsMpSfMsTGTFFLdFFFMFsnNmthNnzhthtwmWnznz,20,MsMpSfMsTGTFFLdFFFMF,snNmthNnzhthtwmWnznz
pZMpJdvJMGRHVJJTVHjb,10,pZMpJdvJMG,RHVJJTVHjb
TQVqZVBcBBdBfbpN,8,TQVqZVBc,BBdBfbpN
